name,country,min_score_ib,min_score_ossd,tuition,admission_rate,majors,source_url
University of Oxford,United Kingdom,40,93,38000,17.5,Physics;Computer Science;Materials Science;Philosophy;Law;Medicine;Biochemistry;Mathematics,https://www.ox.ac.uk
University of Cambridge,United Kingdom,40,93,37000,21,Pharmacology;Physics;Molecular Biology;Natural Sciences;Engineering;Mathematics;Computer Science;Medicine,https://www.cam.ac.uk
Imperial College London,United Kingdom,38,90,40000,14.3,Engineering;Biochemistry;Physics;Medicine;Computer Science;Materials Science;Biomedical Engineering;Chemistry,https://www.imperial.ac.uk
University College London,United Kingdom,36,88,35000,27,Materials Science;Mathematics;Molecular Biology;Architecture;Law;Neuroscience;Economics;Medicine,https://www.ucl.ac.uk
London School of Economics and Political Science,United Kingdom,38,90,28000,8.9,Economics;Political Science;International Relations;Finance;Sociology;Law;Statistics;Anthropology,https://www.lse.ac.uk
University of Edinburgh,United Kingdom,36,87,32000,42,Data Science;Medicine;Computer Science;Veterinary Science;Artificial Intelligence;Philosophy;Law;Biomedical Sciences,https://www.ed.ac.uk
King's College London,United Kingdom,35,86,33000,30,Mathematics;Public Health;Biotechnology;Law;Medicine;Neuroscience;Psychology;Nursing,https://www.kcl.ac.uk
University of Manchester,United Kingdom,34,85,30000,58,Mathematics;Chemistry;Data Science;Physics;Engineering;Computer Science;Biomedical Sciences;Materials Science,https://www.manchester.ac.uk
University of Bristol,United Kingdom,35,86,32000,29,Biological Sciences;Pharmacology;Genetics;Engineering;Law;Veterinary Science;Physics;Mathematics,https://www.bristol.ac.uk
University of Glasgow,United Kingdom,34,84,28000,48,Computer Science;Molecular Biology;Medicine;Veterinary Science;Engineering;Law;Physics;Biomedical Sciences,https://www.gla.ac.uk
University of Warwick,United Kingdom,36,87,30000,50,Mathematics;Economics;Engineering;Business;Computer Science;Physics;Chemistry;Statistics,https://www.warwick.ac.uk
University of Birmingham,United Kingdom,32,82,28000,55,Biotechnology;Biomedical Engineering;Biochemistry;Medicine;Physics;Computer Science;Chemical Engineering;Law,https://www.birmingham.ac.uk
University of Leeds,United Kingdom,34,84,27000,55,Molecular Biology;Pharmacology;Biological Sciences;Engineering;Business;Computer Science;Medicine;Chemistry,https://www.leeds.ac.uk
University of Sheffield,United Kingdom,33,82,26000,52,Biomedical Engineering;Pharmacology;Computer Science;Engineering;Architecture;Materials Science;Medicine;Physics,https://www.sheffield.ac.uk
University of Southampton,United Kingdom,34,84,27000,37,Neuroscience;Data Science;Computer Science;Engineering;Marine Science;Physics;Electronics;Medicine,https://www.southampton.ac.uk
University of Nottingham,United Kingdom,32,80,26000,45,Microbiology;Data Science;Engineering;Pharmacy;Physics;Chemistry;Medicine;Computer Science,https://www.nottingham.ac.uk
University of Liverpool,United Kingdom,32,80,24000,50,Molecular Biology;Biological Sciences;Physics;Engineering;Medicine;Veterinary Science;Architecture;Computer Science,https://www.liverpool.ac.uk
Durham University,United Kingdom,36,87,30000,40,Materials Science;Biochemistry;Physics;Law;Business;English;Natural Sciences;Mathematics,https://www.durham.ac.uk
Queen Mary University of London,United Kingdom,34,84,26000,32,Neuroscience;Microbiology;Biochemistry;Law;Medicine;English;Computer Science;Engineering,https://www.qmul.ac.uk
University of Exeter,United Kingdom,34,84,26000,48,Biological Sciences;Biotechnology;Physics;Business;Psychology;Engineering;Computer Science;Mathematics,https://www.exeter.ac.uk
University of York,United Kingdom,33,82,26000,42,Chemistry;Biomedical Engineering;Computer Science;Psychology;Archaeology;Physics;Electronics;Biology,https://www.york.ac.uk
University of Leicester,United Kingdom,30,77,22000,58,Physics;Environmental Science;Genetics;Space Science;Archaeology;Medicine;Psychology;Biochemistry,https://le.ac.uk
University of Aberdeen,United Kingdom,32,80,24000,62,Biomedical Engineering;Medicine;Engineering;Law;Geology;Agriculture;Divinity;Petroleum Engineering,https://www.abdn.ac.uk
University of Dundee,United Kingdom,32,80,24000,55,Genetics;Neuroscience;Life Sciences;Medicine;Law;Art and Design;Dentistry;Computing,https://www.dundee.ac.uk
University of St Andrews,United Kingdom,38,90,32000,28,Physics;Chemistry;Biology;Philosophy;International Relations;Computer Science;Medicine;Mathematics,https://www.st-andrews.ac.uk
University of Sussex,United Kingdom,32,78,24000,48,Engineering;Physics;Genetics;Development Studies;Psychology;Artificial Intelligence;Physics;Media Studies,https://www.sussex.ac.uk
University of Reading,United Kingdom,30,75,22000,45,Chemistry;Agriculture;Meteorology;Real Estate;Typography;Pharmacy;Food Science;Ecology,https://www.reading.ac.uk
University of Bath,United Kingdom,35,85,28000,42,Materials Science;Engineering;Architecture;Business;Computer Science;Mathematics;Psychology;Chemistry,https://www.bath.ac.uk
Lancaster University,United Kingdom,34,84,26000,45,Physics;Biological Sciences;Business;Engineering;Environmental Science;Linguistics;Psychology;Computer Science,https://www.lancaster.ac.uk
University of Essex,United Kingdom,30,75,21000,52,Politics;Sociology;Economics;Computer Science;Data Science;Human Rights;Linguistics;Drama,https://www.essex.ac.uk
University of Kent,United Kingdom,30,75,22000,58,Environmental Science;Mathematics;Law;Drama;Social Policy;Architecture;Computing;Biosciences,https://www.kent.ac.uk
University of Surrey,United Kingdom,32,78,24000,48,Engineering;Computer Science;Hospitality;Space Technology;Veterinary Science;Health Sciences;Music;Business,https://www.surrey.ac.uk
Newcastle University,United Kingdom,33,82,26000,45,Marine Science;Engineering;Medicine;Architecture;Computing;Agriculture;Music;Business,https://www.ncl.ac.uk
Cardiff University,United Kingdom,32,78,24000,38,Journalism;Architecture;Medicine;Pharmacy;Optometry;Psychology;Engineering;Business,https://www.cardiff.ac.uk
Loughborough University,United Kingdom,33,82,26000,55,Sports Science;Engineering;Design;Business;Computer Science;Physics;Chemistry;Materials Science,https://www.lboro.ac.uk
Royal Holloway University of London,United Kingdom,32,78,24000,52,Information Security;Creative Arts;Psychology;Geography;Media;History;Physics;Computer Science,https://www.royalholloway.ac.uk
Massachusetts Institute of Technology,United States,42,95,58000,4.0,Computer Science;Engineering;Physics;Mathematics;Artificial Intelligence;Robotics;Economics;Neuroscience,https://www.mit.edu
Stanford University,United States,42,95,60000,4.3,Computer Science;Engineering;Medicine;Business;Artificial Intelligence;Law;Psychology;Biology,https://www.stanford.edu
Harvard University,United States,42,95,57000,3.4,Biology;Medicine;Law;Business;Economics;Government;Computer Science;History,https://www.harvard.edu
California Institute of Technology,United States,42,95,58000,3.9,Physics;Engineering;Astronomy;Chemistry;Computer Science;Mathematics;Biology;Geological Sciences,https://www.caltech.edu
Princeton University,United States,42,95,57000,5.9,Mathematics;Physics;Economics;Computer Science;Public Policy;Engineering;Philosophy;History,https://www.princeton.edu
Yale University,United States,41,94,62000,6.3,Law;Drama;History;Medicine;Political Science;Economics;Art;Psychology,https://www.yale.edu
University of Chicago,United States,41,94,60000,6.5,Economics;Physics;Mathematics;Sociology;Law;Business;Political Science;Philosophy,https://www.uchicago.edu
Columbia University,United States,40,93,65000,5.5,Journalism;Law;Business;Medicine;International Affairs;Computer Science;Engineering;Social Work,https://www.columbia.edu
University of Pennsylvania,United States,40,93,63000,8.4,Business;Medicine;Law;Nursing;Engineering;Dental Medicine;Veterinary Medicine;Education,https://www.upenn.edu
Johns Hopkins University,United States,39,92,60000,11.1,Medicine;Public Health;International Studies;Biomedical Engineering;Nursing;Computer Science;Physics;Biology,https://www.jhu.edu
Cornell University,United States,38,91,62000,10.9,Hotel Administration;Engineering;Agriculture;Veterinary Medicine;Architecture;Computer Science;Business;Biology,https://www.cornell.edu
Duke University,United States,39,92,62000,7.4,Medicine;Law;Public Policy;Business;Computer Science;Biomedical Engineering;Economics;Political Science,https://www.duke.edu
Northwestern University,United States,38,91,62000,9.3,Journalism;Theatre;Engineering;Business;Law;Medicine;Education;Music,https://www.northwestern.edu
University of California Berkeley,United States,39,91,45000,14.4,Computer Science;Engineering;Business;Chemistry;Physics;Economics;Law;Public Policy,https://www.berkeley.edu
University of California Los Angeles,United States,37,89,45000,12.4,Film;Theatre;Medicine;Engineering;Psychology;Computer Science;Business;Public Health,https://www.ucla.edu
University of California San Diego,United States,36,88,46000,30.0,Biology;Engineering;Medicine;Computer Science;Oceanography;Physics;Chemistry;Cognitive Science,https://www.ucsd.edu
University of California Davis,United States,34,85,47000,46.0,Agriculture;Veterinary Medicine;Environmental Science;Biology;Engineering;Food Science;Animal Science;Ecology,https://www.ucdavis.edu
University of Michigan,United States,37,89,55000,20.0,Engineering;Business;Medicine;Law;Computer Science;Psychology;Information Science;Public Policy,https://umich.edu
University of Washington,United States,35,86,42000,48.0,Computer Science;Medicine;Engineering;Information Science;Biology;Business;Public Health;Oceanography,https://www.washington.edu
University of Wisconsin Madison,United States,34,85,40000,52.0,Biology;Engineering;Business;Computer Science;Agriculture;Social Work;Journalism;Chemistry,https://www.wisc.edu
Carnegie Mellon University,United States,39,92,60000,15.0,Computer Science;Robotics;Engineering;Business;Drama;Design;Artificial Intelligence;Machine Learning,https://www.cmu.edu
Georgia Institute of Technology,United States,35,86,35000,21.0,Engineering;Computer Science;Business;Architecture;Industrial Design;Physics;Chemistry;Biology,https://www.gatech.edu
New York University,United States,36,88,58000,12.8,Business;Film;Law;Medicine;Journalism;Computer Science;Drama;Public Health,https://www.nyu.edu
Brown University,United States,39,92,62000,7.0,Computer Science;Engineering;Applied Mathematics;Neuroscience;Economics;Biomedical Engineering;History;English,https://www.brown.edu
Dartmouth College,United States,38,91,62000,8.7,Computer Science;Economics;Government;Engineering;Biology;Medicine;English;History,https://www.dartmouth.edu
Rice University,United States,38,91,54000,11.0,Engineering;Computer Science;Architecture;Business;Physics;Chemistry;Biology;Economics,https://www.rice.edu
Vanderbilt University,United States,37,89,58000,11.6,Medicine;Education;Business;Law;Engineering;Nursing;Divinity;Music,https://www.vanderbilt.edu
University of Notre Dame,United States,36,88,58000,19.0,Business;Engineering;Political Science;Theology;Architecture;Law;Science;Arts,https://www.nd.edu
University of Virginia,United States,35,86,54000,24.0,Law;Business;Medicine;Architecture;Engineering;Computer Science;Politics;Economics,https://www.virginia.edu
University of Southern California,United States,36,88,62000,13.0,Film;Business;Engineering;Medicine;Journalism;Computer Science;Music;Architecture,https://www.usc.edu
Boston University,United States,34,85,62000,20.0,Law;Medicine;Engineering;Business;Communications;Computer Science;International Relations;Psychology,https://www.bu.edu
University of Toronto,Canada,37,90,45000,43.0,Medicine;Computer Science;Engineering;Business;Law;Life Sciences;Artificial Intelligence;Pharmacy,https://www.utoronto.ca
University of British Columbia,Canada,36,89,42000,52.0,Forestry;Medicine;Environmental Science;Computer Science;Engineering;Business;Pharmacy;Mining Engineering,https://www.ubc.ca
McGill University,Canada,37,90,45000,42.0,Medicine;Law;Music;Computer Science;Engineering;Business;Neuroscience;Political Science,https://www.mcgill.ca
University of Alberta,Canada,33,83,30000,58.0,Engineering;Medicine;Earth Sciences;Computer Science;Agriculture;Business;Nursing;Pharmacy,https://www.ualberta.ca
University of Waterloo,Canada,35,87,35000,53.0,Computer Science;Engineering;Mathematics;Actuarial Science;Cooperative Education;Physics;Nanotechnology;Business,https://uwaterloo.ca
McMaster University,Canada,34,85,38000,58.0,Medicine;Engineering;Business;Health Sciences;Nursing;Computer Science;Chemistry;Biology,https://www.mcmaster.ca
University of Montreal,Canada,33,83,28000,55.0,Law;Medicine;Veterinary Medicine;Pharmacy;Computer Science;Psychology;Education;Architecture,https://www.umontreal.ca
Queen's University,Canada,34,85,42000,42.0,Business;Engineering;Law;Medicine;Computer Science;Health Sciences;Mining Engineering;Policy Studies,https://www.queensu.ca
University of Calgary,Canada,32,82,28000,65.0,Engineering;Medicine;Veterinary Medicine;Business;Computer Science;Law;Nursing;Geoscience,https://www.ucalgary.ca
Western University,Canada,33,83,35000,55.0,Business;Medicine;Engineering;Law;Dentistry;Music;Media Studies;Health Sciences,https://www.uwo.ca
University of Ottawa,Canada,32,82,32000,60.0,Law;Medicine;Engineering;Business;Health Sciences;Computer Science;Political Science;Social Sciences,https://www.uottawa.ca
Simon Fraser University,Canada,32,82,30000,62.0,Computer Science;Business;Communications;Criminology;Health Sciences;Engineering;Environmental Science;Arts,https://www.sfu.ca
Dalhousie University,Canada,31,80,28000,65.0,Medicine;Law;Ocean Sciences;Engineering;Agriculture;Dentistry;Computer Science;Health Professions,https://www.dal.ca
University of Melbourne,Australia,36,88,48000,42.0,Medicine;Law;Business;Engineering;Architecture;Computer Science;Biomedical Science;Arts,https://www.unimelb.edu.au
Australian National University,Australia,35,86,47000,35.0,Political Science;International Relations;Law;Physics;Astronomy;Biology;Computer Science;Asian Studies,https://www.anu.edu.au
University of Sydney,Australia,36,88,50000,30.0,Medicine;Law;Architecture;Business;Engineering;Veterinary Science;Pharmacy;Music,https://www.sydney.edu.au
University of New South Wales,Australia,35,86,48000,35.0,Engineering;Business;Medicine;Law;Computer Science;Architecture;Art and Design;Science,https://www.unsw.edu.au
Monash University,Australia,34,84,46000,50.0,Pharmacy;Engineering;Medicine;Law;Business;Education;Science;Arts,https://www.monash.edu
University of Queensland,Australia,34,84,45000,53.0,Medicine;Engineering;Business;Science;Veterinary Science;Agriculture;Tourism;Architecture,https://www.uq.edu.au
University of Western Australia,Australia,33,82,42000,58.0,Medicine;Law;Engineering;Agriculture;Marine Science;Mining Engineering;Business;Arts,https://www.uwa.edu.au
University of Adelaide,Australia,32,80,40000,62.0,Medicine;Engineering;Wine and Food Science;Agriculture;Music;Law;Veterinary Science;Dentistry,https://www.adelaide.edu.au
University of Auckland,New Zealand,33,84,36000,60.0,Medicine;Engineering;Law;Business;Computer Science;Marine Science;Architecture;Arts,https://www.auckland.ac.nz
University of Otago,New Zealand,32,82,35000,65.0,Medicine;Dentistry;Pharmacy;Physical Education;Biomedical Sciences;Law;Business;Tourism,https://www.otago.ac.nz
Victoria University of Wellington,New Zealand,31,80,32000,68.0,Law;International Relations;Creative Arts;Architecture;Engineering;Computer Science;Business;Humanities,https://www.wgtn.ac.nz
ETH Zurich,Switzerland,40,93,3000,27.0,Engineering;Computer Science;Physics;Mathematics;Architecture;Biology;Chemistry;Environmental Science,https://ethz.ch
EPFL,Switzerland,39,92,2800,25.0,Engineering;Computer Science;Physics;Mathematics;Life Sciences;Architecture;Microengineering;Materials Science,https://www.epfl.ch
University of Zurich,Switzerland,35,86,3200,45.0,Medicine;Law;Economics;Psychology;Neuroscience;Biology;Computer Science;Physics,https://www.uzh.ch
University of Geneva,Switzerland,34,85,2800,48.0,International Relations;Law;Medicine;Science;Economics;Psychology;Translation;Theology,https://www.unige.ch
University of Basel,Switzerland,33,84,2600,52.0,Pharmacy;Medicine;Law;Biology;Chemistry;Physics;Psychology;History,https://www.unibas.ch
National University of Singapore,Singapore,38,91,38000,12.0,Computer Science;Engineering;Business;Medicine;Law;Science;Design;Public Policy,https://www.nus.edu.sg
Nanyang Technological University,Singapore,37,90,35000,18.0,Engineering;Computer Science;Business;Communication;Education;Science;Art and Design;Medicine,https://www.ntu.edu.sg
Singapore Management University,Singapore,34,85,40000,35.0,Business;Accountancy;Law;Economics;Information Systems;Social Sciences;Computing;Data Science,https://www.smu.edu.sg
University of Hong Kong,Hong Kong,38,91,45000,18.0,Medicine;Law;Business;Engineering;Architecture;Computer Science;Dentistry;Social Sciences,https://www.hku.hk
Chinese University of Hong Kong,Hong Kong,36,88,42000,25.0,Business;Medicine;Engineering;Law;Science;Social Sciences;Education;Journalism,https://www.cuhk.edu.hk
Hong Kong University of Science and Technology,Hong Kong,37,90,40000,22.0,Engineering;Business;Science;Computer Science;Social Sciences;Environment;Life Sciences;Design,https://hkust.edu.hk
Hong Kong Polytechnic University,Hong Kong,32,82,35000,45.0,Hotel Management;Design;Engineering;Health Sciences;Business;Computing;Construction;Textiles,https://www.polyu.edu.hk
University of Tokyo,Japan,39,92,10000,34.0,Engineering;Medicine;Law;Science;Economics;Agriculture;Education;Pharmacy,https://www.u-tokyo.ac.jp
Kyoto University,Japan,38,90,9500,38.0,Science;Medicine;Engineering;Law;Economics;Agriculture;Pharmaceutical Sciences;Letters,https://www.kyoto-u.ac.jp
Osaka University,Japan,36,88,9000,42.0,Medicine;Engineering;Science;Law;Economics;Dentistry;Pharmaceutical Sciences;Foreign Studies,https://www.osaka-u.ac.jp
Tokyo Institute of Technology,Japan,38,90,9500,25.0,Engineering;Science;Computing;Materials Science;Life Science;Architecture;Chemistry;Physics,https://www.titech.ac.jp
Tohoku University,Japan,35,86,8500,45.0,Science;Engineering;Medicine;Agriculture;Pharmaceutical Sciences;Dentistry;Law;Economics,https://www.tohoku.ac.jp
Nagoya University,Japan,35,86,8500,48.0,Science;Engineering;Medicine;Law;Economics;Agriculture;Education;Informatics,https://www.nagoya-u.ac.jp
Waseda University,Japan,34,85,22000,32.0,Political Science;Economics;Commerce;Law;Literature;Engineering;Education;Sports Sciences,https://www.waseda.jp
Keio University,Japan,34,85,22000,30.0,Medicine;Business;Law;Economics;Literature;Science;Policy Management;Environment,https://www.keio.ac.jp
Seoul National University,South Korea,38,91,8000,20.0,Engineering;Medicine;Law;Business;Science;Computer Science;Economics;Pharmacy,https://www.snu.ac.kr
KAIST,South Korea,39,92,9000,15.0,Engineering;Computer Science;Science;Business;Bio and Brain Engineering;Industrial Design;Technology Policy,https://www.kaist.ac.kr
POSTECH,South Korea,38,90,9000,18.0,Engineering;Science;Computer Science;Life Sciences;Materials Science;Chemistry;Physics;Mathematics,https://www.postech.ac.kr
Yonsei University,South Korea,35,86,18000,28.0,Medicine;Law;Business;Engineering;Computer Science;International Studies;Communication;Economics,https://www.yonsei.ac.kr
Korea University,South Korea,35,86,17000,30.0,Law;Business;Engineering;Medicine;Computer Science;International Studies;Political Science;Economics,https://www.korea.ac.kr
Sungkyunkwan University,South Korea,34,85,16000,35.0,Business;Medicine;Law;Engineering;Science;Pharmacy;Computer Science;Arts,https://www.skku.edu
Tsinghua University,China,40,94,8000,5.0,Engineering;Computer Science;Architecture;Business;Science;Economics;Law;Fine Arts,https://www.tsinghua.edu.cn
